replicate,label_seed,model_id,model_role,protocol,selector,loss_name,n_basis,regularization_strength,penalty_power
2,20261212,protocol::retuned_raw::unweighted,protocol,retuned_raw,,unweighted,4098,1e-06,2.0
2,20261212,protocol::retuned_raw::optimized_gamma0p75_cap20,protocol,retuned_raw,,optimized_gamma0p75_cap20,4098,1e-06,2.0
2,20261212,protocol::retuned_raw::previous_mock2_gamma1p00_cap50,protocol,retuned_raw,,previous_mock2_gamma1p00_cap50,4098,1e-06,2.0
2,20261212,protocol::matched_unweighted_practical::unweighted,protocol,matched_unweighted_practical,,unweighted,3074,1e-06,2.0
2,20261212,protocol::matched_unweighted_practical::optimized_gamma0p75_cap20,protocol,matched_unweighted_practical,,optimized_gamma0p75_cap20,3074,1e-06,2.0
2,20261212,protocol::matched_unweighted_practical::previous_mock2_gamma1p00_cap50,protocol,matched_unweighted_practical,,previous_mock2_gamma1p00_cap50,3074,1e-06,2.0
2,20261212,protocol::matched_raw_operational_structure::unweighted,protocol,matched_raw_operational_structure,,unweighted,4098,1e-06,2.0
2,20261212,protocol::matched_raw_operational_structure::optimized_gamma0p75_cap20,protocol,matched_raw_operational_structure,,optimized_gamma0p75_cap20,4098,1e-06,2.0
2,20261212,protocol::matched_raw_operational_structure::previous_mock2_gamma1p00_cap50,protocol,matched_raw_operational_structure,,previous_mock2_gamma1p00_cap50,4098,1e-06,2.0
2,20261212,selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,4098,1e-06,2.0
2,20261212,selector::raw_hidden_3d_validation_diagnostic,selector,selector,raw_hidden_3d_validation_diagnostic,unweighted,2050,1e-06,2.0
2,20261212,selector::practical_operational_radial_validation,selector,selector,practical_operational_radial_validation,unweighted,3074,1e-06,2.0
2,20261212,selector::practical_hidden_3d_validation_diagnostic,selector,selector,practical_hidden_3d_validation_diagnostic,unweighted,3074,1e-06,2.0
2,20261212,selector::fixed_global_practical_policy,selector,selector,fixed_global_practical_policy,unweighted,3074,1e-06,2.0
3,20261222,protocol::retuned_practical::unweighted,protocol,retuned_practical,,unweighted,3074,1e-06,2.0
3,20261222,protocol::retuned_practical::optimized_gamma0p75_cap20,protocol,retuned_practical,,optimized_gamma0p75_cap20,2818,1e-06,2.0
3,20261222,protocol::retuned_practical::previous_mock2_gamma1p00_cap50,protocol,retuned_practical,,previous_mock2_gamma1p00_cap50,2818,1e-06,2.0
3,20261222,protocol::retuned_raw::unweighted,protocol,retuned_raw,,unweighted,3074,1e-06,2.0
3,20261222,protocol::retuned_raw::optimized_gamma0p75_cap20,protocol,retuned_raw,,optimized_gamma0p75_cap20,3074,1e-06,2.0
3,20261222,protocol::retuned_raw::previous_mock2_gamma1p00_cap50,protocol,retuned_raw,,previous_mock2_gamma1p00_cap50,3074,1e-06,2.0
3,20261222,protocol::matched_unweighted_practical::unweighted,protocol,matched_unweighted_practical,,unweighted,3074,1e-06,2.0
3,20261222,protocol::matched_unweighted_practical::optimized_gamma0p75_cap20,protocol,matched_unweighted_practical,,optimized_gamma0p75_cap20,3074,1e-06,2.0
3,20261222,protocol::matched_unweighted_practical::previous_mock2_gamma1p00_cap50,protocol,matched_unweighted_practical,,previous_mock2_gamma1p00_cap50,3074,1e-06,2.0
3,20261222,protocol::matched_raw_operational_structure::unweighted,protocol,matched_raw_operational_structure,,unweighted,3074,1e-06,2.0
3,20261222,protocol::matched_raw_operational_structure::optimized_gamma0p75_cap20,protocol,matched_raw_operational_structure,,optimized_gamma0p75_cap20,3074,1e-06,2.0
3,20261222,protocol::matched_raw_operational_structure::previous_mock2_gamma1p00_cap50,protocol,matched_raw_operational_structure,,previous_mock2_gamma1p00_cap50,3074,1e-06,2.0
3,20261222,selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,3074,1e-06,2.0
3,20261222,selector::raw_hidden_3d_validation_diagnostic,selector,selector,raw_hidden_3d_validation_diagnostic,unweighted,2050,1e-06,2.0
3,20261222,selector::practical_operational_radial_validation,selector,selector,practical_operational_radial_validation,unweighted,3074,1e-06,2.0
3,20261222,selector::practical_hidden_3d_validation_diagnostic,selector,selector,practical_hidden_3d_validation_diagnostic,unweighted,3074,1e-06,2.0
3,20261222,selector::fixed_global_practical_policy,selector,selector,fixed_global_practical_policy,unweighted,3074,1e-06,2.0
4,20270102,protocol::retuned_practical::unweighted,protocol,retuned_practical,,unweighted,3074,1e-06,2.0
4,20270102,protocol::retuned_practical::optimized_gamma0p75_cap20,protocol,retuned_practical,,optimized_gamma0p75_cap20,2818,1e-06,2.0
4,20270102,protocol::retuned_practical::previous_mock2_gamma1p00_cap50,protocol,retuned_practical,,previous_mock2_gamma1p00_cap50,2818,1e-06,2.0
4,20270102,protocol::retuned_raw::unweighted,protocol,retuned_raw,,unweighted,3842,1e-06,2.0
4,20270102,protocol::retuned_raw::optimized_gamma0p75_cap20,protocol,retuned_raw,,optimized_gamma0p75_cap20,3330,1e-06,2.0
4,20270102,protocol::retuned_raw::previous_mock2_gamma1p00_cap50,protocol,retuned_raw,,previous_mock2_gamma1p00_cap50,3330,1e-06,2.0
4,20270102,protocol::matched_unweighted_practical::unweighted,protocol,matched_unweighted_practical,,unweighted,3074,1e-06,2.0
4,20270102,protocol::matched_unweighted_practical::optimized_gamma0p75_cap20,protocol,matched_unweighted_practical,,optimized_gamma0p75_cap20,3074,1e-06,2.0
4,20270102,protocol::matched_unweighted_practical::previous_mock2_gamma1p00_cap50,protocol,matched_unweighted_practical,,previous_mock2_gamma1p00_cap50,3074,1e-06,2.0
4,20270102,protocol::matched_raw_operational_structure::unweighted,protocol,matched_raw_operational_structure,,unweighted,3842,1e-06,2.0
4,20270102,protocol::matched_raw_operational_structure::optimized_gamma0p75_cap20,protocol,matched_raw_operational_structure,,optimized_gamma0p75_cap20,3842,1e-06,2.0
4,20270102,protocol::matched_raw_operational_structure::previous_mock2_gamma1p00_cap50,protocol,matched_raw_operational_structure,,previous_mock2_gamma1p00_cap50,3842,1e-06,2.0
4,20270102,selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,3842,1e-06,2.0
4,20270102,selector::raw_hidden_3d_validation_diagnostic,selector,selector,raw_hidden_3d_validation_diagnostic,unweighted,2307,1e-06,2.0
4,20270102,selector::practical_operational_radial_validation,selector,selector,practical_operational_radial_validation,unweighted,3074,1e-06,2.0
4,20270102,selector::practical_hidden_3d_validation_diagnostic,selector,selector,practical_hidden_3d_validation_diagnostic,unweighted,3074,1e-06,2.0
4,20270102,selector::fixed_global_practical_policy,selector,selector,fixed_global_practical_policy,unweighted,3074,1e-06,2.0
5,20270112,protocol::retuned_practical::unweighted,protocol,retuned_practical,,unweighted,3074,1e-06,2.0
5,20270112,protocol::retuned_practical::optimized_gamma0p75_cap20,protocol,retuned_practical,,optimized_gamma0p75_cap20,2818,1e-06,2.0
5,20270112,protocol::retuned_practical::previous_mock2_gamma1p00_cap50,protocol,retuned_practical,,previous_mock2_gamma1p00_cap50,2818,1e-06,2.0
5,20270112,protocol::retuned_raw::unweighted,protocol,retuned_raw,,unweighted,4354,1e-06,2.0
5,20270112,protocol::retuned_raw::optimized_gamma0p75_cap20,protocol,retuned_raw,,optimized_gamma0p75_cap20,4354,1e-06,2.0
5,20270112,protocol::retuned_raw::previous_mock2_gamma1p00_cap50,protocol,retuned_raw,,previous_mock2_gamma1p00_cap50,4354,1e-06,2.0
5,20270112,protocol::matched_unweighted_practical::unweighted,protocol,matched_unweighted_practical,,unweighted,3074,1e-06,2.0
5,20270112,protocol::matched_unweighted_practical::optimized_gamma0p75_cap20,protocol,matched_unweighted_practical,,optimized_gamma0p75_cap20,3074,1e-06,2.0
5,20270112,protocol::matched_unweighted_practical::previous_mock2_gamma1p00_cap50,protocol,matched_unweighted_practical,,previous_mock2_gamma1p00_cap50,3074,1e-06,2.0
5,20270112,protocol::matched_raw_operational_structure::unweighted,protocol,matched_raw_operational_structure,,unweighted,4354,1e-06,2.0
5,20270112,protocol::matched_raw_operational_structure::optimized_gamma0p75_cap20,protocol,matched_raw_operational_structure,,optimized_gamma0p75_cap20,4354,1e-06,2.0
5,20270112,protocol::matched_raw_operational_structure::previous_mock2_gamma1p00_cap50,protocol,matched_raw_operational_structure,,previous_mock2_gamma1p00_cap50,4354,1e-06,2.0
5,20270112,selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,4354,1e-06,2.0
5,20270112,selector::raw_hidden_3d_validation_diagnostic,selector,selector,raw_hidden_3d_validation_diagnostic,unweighted,2050,1e-06,2.0
5,20270112,selector::practical_operational_radial_validation,selector,selector,practical_operational_radial_validation,unweighted,3074,1e-06,2.0
5,20270112,selector::practical_hidden_3d_validation_diagnostic,selector,selector,practical_hidden_3d_validation_diagnostic,unweighted,3074,1e-06,2.0
5,20270112,selector::fixed_global_practical_policy,selector,selector,fixed_global_practical_policy,unweighted,3074,1e-06,2.0
6,20270122,protocol::retuned_practical::unweighted,protocol,retuned_practical,,unweighted,3074,0.0001,1.0
6,20270122,protocol::retuned_practical::optimized_gamma0p75_cap20,protocol,retuned_practical,,optimized_gamma0p75_cap20,2818,0.0001,1.0
6,20270122,protocol::retuned_practical::previous_mock2_gamma1p00_cap50,protocol,retuned_practical,,previous_mock2_gamma1p00_cap50,2818,0.0001,1.0
6,20270122,protocol::retuned_raw::unweighted,protocol,retuned_raw,,unweighted,2307,1e-06,1.0
6,20270122,protocol::retuned_raw::optimized_gamma0p75_cap20,protocol,retuned_raw,,optimized_gamma0p75_cap20,4354,0.0001,1.0
6,20270122,protocol::retuned_raw::previous_mock2_gamma1p00_cap50,protocol,retuned_raw,,previous_mock2_gamma1p00_cap50,4354,0.0001,1.0
6,20270122,protocol::matched_unweighted_practical::unweighted,protocol,matched_unweighted_practical,,unweighted,3074,0.0001,1.0
6,20270122,protocol::matched_unweighted_practical::optimized_gamma0p75_cap20,protocol,matched_unweighted_practical,,optimized_gamma0p75_cap20,3074,0.0001,1.0
6,20270122,protocol::matched_unweighted_practical::previous_mock2_gamma1p00_cap50,protocol,matched_unweighted_practical,,previous_mock2_gamma1p00_cap50,3074,0.0001,1.0
6,20270122,protocol::matched_raw_operational_structure::unweighted,protocol,matched_raw_operational_structure,,unweighted,4354,0.0001,1.0
6,20270122,protocol::matched_raw_operational_structure::optimized_gamma0p75_cap20,protocol,matched_raw_operational_structure,,optimized_gamma0p75_cap20,4354,0.0001,1.0
6,20270122,protocol::matched_raw_operational_structure::previous_mock2_gamma1p00_cap50,protocol,matched_raw_operational_structure,,previous_mock2_gamma1p00_cap50,4354,0.0001,1.0
6,20270122,selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,optimized_gamma0p75_cap20,4354,0.0001,1.0
6,20270122,selector::raw_hidden_3d_validation_diagnostic,selector,selector,raw_hidden_3d_validation_diagnostic,unweighted,3074,1e-06,2.0
6,20270122,selector::practical_operational_radial_validation,selector,selector,practical_operational_radial_validation,optimized_gamma0p75_cap20,2818,0.0001,1.0
6,20270122,selector::practical_hidden_3d_validation_diagnostic,selector,selector,practical_hidden_3d_validation_diagnostic,unweighted,3074,0.0001,1.0
6,20270122,selector::fixed_global_practical_policy,selector,selector,fixed_global_practical_policy,unweighted,3074,0.0001,1.0
7,20270202,protocol::retuned_practical::unweighted,protocol,retuned_practical,,unweighted,3074,1e-06,2.0
7,20270202,protocol::retuned_practical::optimized_gamma0p75_cap20,protocol,retuned_practical,,optimized_gamma0p75_cap20,2818,1e-06,2.0
7,20270202,protocol::retuned_practical::previous_mock2_gamma1p00_cap50,protocol,retuned_practical,,previous_mock2_gamma1p00_cap50,2818,1e-06,2.0
7,20270202,protocol::retuned_raw::unweighted,protocol,retuned_raw,,unweighted,4098,1e-06,2.0
7,20270202,protocol::retuned_raw::optimized_gamma0p75_cap20,protocol,retuned_raw,,optimized_gamma0p75_cap20,4098,1e-06,2.0
7,20270202,protocol::retuned_raw::previous_mock2_gamma1p00_cap50,protocol,retuned_raw,,previous_mock2_gamma1p00_cap50,4098,1e-06,2.0
7,20270202,protocol::matched_unweighted_practical::unweighted,protocol,matched_unweighted_practical,,unweighted,3074,1e-06,2.0
7,20270202,protocol::matched_unweighted_practical::optimized_gamma0p75_cap20,protocol,matched_unweighted_practical,,optimized_gamma0p75_cap20,3074,1e-06,2.0
7,20270202,protocol::matched_unweighted_practical::previous_mock2_gamma1p00_cap50,protocol,matched_unweighted_practical,,previous_mock2_gamma1p00_cap50,3074,1e-06,2.0
7,20270202,protocol::matched_raw_operational_structure::unweighted,protocol,matched_raw_operational_structure,,unweighted,4098,1e-06,2.0
7,20270202,protocol::matched_raw_operational_structure::optimized_gamma0p75_cap20,protocol,matched_raw_operational_structure,,optimized_gamma0p75_cap20,4098,1e-06,2.0
7,20270202,protocol::matched_raw_operational_structure::previous_mock2_gamma1p00_cap50,protocol,matched_raw_operational_structure,,previous_mock2_gamma1p00_cap50,4098,1e-06,2.0
7,20270202,selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,4098,1e-06,2.0
7,20270202,selector::raw_hidden_3d_validation_diagnostic,selector,selector,raw_hidden_3d_validation_diagnostic,unweighted,2562,1e-06,2.0
7,20270202,selector::practical_operational_radial_validation,selector,selector,practical_operational_radial_validation,unweighted,3074,1e-06,2.0
7,20270202,selector::practical_hidden_3d_validation_diagnostic,selector,selector,practical_hidden_3d_validation_diagnostic,unweighted,3074,1e-06,2.0
7,20270202,selector::fixed_global_practical_policy,selector,selector,fixed_global_practical_policy,unweighted,3074,1e-06,2.0
8,20270212,protocol::retuned_practical::unweighted,protocol,retuned_practical,,unweighted,3074,1e-06,2.0
8,20270212,protocol::retuned_practical::optimized_gamma0p75_cap20,protocol,retuned_practical,,optimized_gamma0p75_cap20,2818,1e-06,2.0
8,20270212,protocol::retuned_practical::previous_mock2_gamma1p00_cap50,protocol,retuned_practical,,previous_mock2_gamma1p00_cap50,2818,1e-06,2.0
8,20270212,protocol::retuned_raw::unweighted,protocol,retuned_raw,,unweighted,3330,1e-06,2.0
8,20270212,protocol::retuned_raw::optimized_gamma0p75_cap20,protocol,retuned_raw,,optimized_gamma0p75_cap20,2818,1e-06,2.0
8,20270212,protocol::retuned_raw::previous_mock2_gamma1p00_cap50,protocol,retuned_raw,,previous_mock2_gamma1p00_cap50,2818,1e-06,2.0
8,20270212,protocol::matched_unweighted_practical::unweighted,protocol,matched_unweighted_practical,,unweighted,3074,1e-06,2.0
8,20270212,protocol::matched_unweighted_practical::optimized_gamma0p75_cap20,protocol,matched_unweighted_practical,,optimized_gamma0p75_cap20,3074,1e-06,2.0
8,20270212,protocol::matched_unweighted_practical::previous_mock2_gamma1p00_cap50,protocol,matched_unweighted_practical,,previous_mock2_gamma1p00_cap50,3074,1e-06,2.0
8,20270212,protocol::matched_raw_operational_structure::unweighted,protocol,matched_raw_operational_structure,,unweighted,3330,1e-06,2.0
8,20270212,protocol::matched_raw_operational_structure::optimized_gamma0p75_cap20,protocol,matched_raw_operational_structure,,optimized_gamma0p75_cap20,3330,1e-06,2.0
8,20270212,protocol::matched_raw_operational_structure::previous_mock2_gamma1p00_cap50,protocol,matched_raw_operational_structure,,previous_mock2_gamma1p00_cap50,3330,1e-06,2.0
8,20270212,selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,3330,1e-06,2.0
8,20270212,selector::raw_hidden_3d_validation_diagnostic,selector,selector,raw_hidden_3d_validation_diagnostic,unweighted,2307,1e-06,2.0
8,20270212,selector::practical_operational_radial_validation,selector,selector,practical_operational_radial_validation,unweighted,3074,1e-06,2.0
8,20270212,selector::practical_hidden_3d_validation_diagnostic,selector,selector,practical_hidden_3d_validation_diagnostic,unweighted,3074,1e-06,2.0
8,20270212,selector::fixed_global_practical_policy,selector,selector,fixed_global_practical_policy,unweighted,3074,1e-06,2.0
9,20270222,protocol::retuned_practical::unweighted,protocol,retuned_practical,,unweighted,3074,1e-06,2.0
9,20270222,protocol::retuned_practical::optimized_gamma0p75_cap20,protocol,retuned_practical,,optimized_gamma0p75_cap20,2818,1e-06,2.0
9,20270222,protocol::retuned_practical::previous_mock2_gamma1p00_cap50,protocol,retuned_practical,,previous_mock2_gamma1p00_cap50,2818,1e-06,2.0
9,20270222,protocol::retuned_raw::unweighted,protocol,retuned_raw,,unweighted,4354,1e-06,2.0
9,20270222,protocol::retuned_raw::optimized_gamma0p75_cap20,protocol,retuned_raw,,optimized_gamma0p75_cap20,3330,1e-06,2.0
9,20270222,protocol::retuned_raw::previous_mock2_gamma1p00_cap50,protocol,retuned_raw,,previous_mock2_gamma1p00_cap50,3330,1e-06,2.0
9,20270222,protocol::matched_unweighted_practical::unweighted,protocol,matched_unweighted_practical,,unweighted,3074,1e-06,2.0
9,20270222,protocol::matched_unweighted_practical::optimized_gamma0p75_cap20,protocol,matched_unweighted_practical,,optimized_gamma0p75_cap20,3074,1e-06,2.0
9,20270222,protocol::matched_unweighted_practical::previous_mock2_gamma1p00_cap50,protocol,matched_unweighted_practical,,previous_mock2_gamma1p00_cap50,3074,1e-06,2.0
9,20270222,protocol::matched_raw_operational_structure::unweighted,protocol,matched_raw_operational_structure,,unweighted,4354,1e-06,2.0
9,20270222,protocol::matched_raw_operational_structure::optimized_gamma0p75_cap20,protocol,matched_raw_operational_structure,,optimized_gamma0p75_cap20,4354,1e-06,2.0
9,20270222,protocol::matched_raw_operational_structure::previous_mock2_gamma1p00_cap50,protocol,matched_raw_operational_structure,,previous_mock2_gamma1p00_cap50,4354,1e-06,2.0
9,20270222,selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,4354,1e-06,2.0
9,20270222,selector::raw_hidden_3d_validation_diagnostic,selector,selector,raw_hidden_3d_validation_diagnostic,unweighted,2818,1e-06,2.0
9,20270222,selector::practical_operational_radial_validation,selector,selector,practical_operational_radial_validation,unweighted,3074,1e-06,2.0
9,20270222,selector::practical_hidden_3d_validation_diagnostic,selector,selector,practical_hidden_3d_validation_diagnostic,unweighted,3074,1e-06,2.0
9,20270222,selector::fixed_global_practical_policy,selector,selector,fixed_global_practical_policy,unweighted,3074,1e-06,2.0
10,20270302,protocol::retuned_practical::unweighted,protocol,retuned_practical,,unweighted,3074,1e-06,2.0
10,20270302,protocol::retuned_practical::optimized_gamma0p75_cap20,protocol,retuned_practical,,optimized_gamma0p75_cap20,2818,1e-06,2.0
10,20270302,protocol::retuned_practical::previous_mock2_gamma1p00_cap50,protocol,retuned_practical,,previous_mock2_gamma1p00_cap50,2818,1e-06,2.0
10,20270302,protocol::retuned_raw::unweighted,protocol,retuned_raw,,unweighted,4354,1e-06,2.0
10,20270302,protocol::retuned_raw::optimized_gamma0p75_cap20,protocol,retuned_raw,,optimized_gamma0p75_cap20,4354,1e-06,2.0
10,20270302,protocol::retuned_raw::previous_mock2_gamma1p00_cap50,protocol,retuned_raw,,previous_mock2_gamma1p00_cap50,4354,1e-06,2.0
10,20270302,protocol::matched_unweighted_practical::unweighted,protocol,matched_unweighted_practical,,unweighted,3074,1e-06,2.0
10,20270302,protocol::matched_unweighted_practical::optimized_gamma0p75_cap20,protocol,matched_unweighted_practical,,optimized_gamma0p75_cap20,3074,1e-06,2.0
10,20270302,protocol::matched_unweighted_practical::previous_mock2_gamma1p00_cap50,protocol,matched_unweighted_practical,,previous_mock2_gamma1p00_cap50,3074,1e-06,2.0
10,20270302,protocol::matched_raw_operational_structure::unweighted,protocol,matched_raw_operational_structure,,unweighted,4354,1e-06,2.0
10,20270302,protocol::matched_raw_operational_structure::optimized_gamma0p75_cap20,protocol,matched_raw_operational_structure,,optimized_gamma0p75_cap20,4354,1e-06,2.0
10,20270302,protocol::matched_raw_operational_structure::previous_mock2_gamma1p00_cap50,protocol,matched_raw_operational_structure,,previous_mock2_gamma1p00_cap50,4354,1e-06,2.0
10,20270302,selector::raw_operational_radial_validation,selector,selector,raw_operational_radial_validation,unweighted,4354,1e-06,2.0
10,20270302,selector::raw_hidden_3d_validation_diagnostic,selector,selector,raw_hidden_3d_validation_diagnostic,unweighted,2818,1e-06,2.0
10,20270302,selector::practical_operational_radial_validation,selector,selector,practical_operational_radial_validation,unweighted,3074,1e-06,2.0
10,20270302,selector::practical_hidden_3d_validation_diagnostic,selector,selector,practical_hidden_3d_validation_diagnostic,unweighted,3074,1e-06,2.0
10,20270302,selector::fixed_global_practical_policy,selector,selector,fixed_global_practical_policy,unweighted,3074,1e-06,2.0
